unit_number,time_cycles,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
50,1,0.0043,-0.0001,100.0,518.67,642.47,1578.98,1397.59,14.62,21.61,553.83,2388.02,9061.18,1.3,47.37,522.04,2388.07,8143.03,8.4187,0.03,392,2388,100.0,38.98,23.4162
50,2,0.0031,0.0002,100.0,518.67,642.38,1585.08,1400.74,14.62,21.61,554.26,2388.05,9059.53,1.3,47.35,521.45,2388.07,8139.32,8.4194,0.03,392,2388,100.0,39.02,23.4525
50,3,0.0041,-0.0,100.0,518.67,642.38,1585.41,1400.76,14.62,21.61,553.68,2388.05,9059.73,1.3,47.24,522.2,2388.03,8142.16,8.4061,0.03,392,2388,100.0,39.09,23.4031
50,4,0.0014,-0.0001,100.0,518.67,642.3,1580.2,1400.59,14.62,21.61,554.39,2388.02,9053.63,1.3,47.17,521.9,2388.02,8151.05,8.3833,0.03,392,2388,100.0,38.96,23.4181
50,5,-0.0016,-0.0001,100.0,518.67,642.36,1588.59,1407.71,14.62,21.61,554.44,2388.05,9066.96,1.3,47.33,522.47,2388.05,8144.06,8.4044,0.03,391,2388,100.0,38.9,23.4468
50,6,-0.0017,-0.0002,100.0,518.67,642.51,1583.83,1402.52,14.62,21.61,554.02,2388.05,9056.23,1.3,47.1,522.6,2388.04,8144.9,8.449,0.03,391,2388,100.0,38.8,23.4769
50,7,-0.0008,-0.0003,100.0,518.67,642.22,1588.01,1405.22,14.62,21.61,554.09,2388.04,9053.85,1.3,47.49,521.81,2388.01,8142.96,8.3957,0.03,392,2388,100.0,38.88,23.3837
50,8,-0.0006,-0.0005,100.0,518.67,642.33,1592.55,1403.43,14.62,21.61,553.43,2388.01,9066.11,1.3,47.18,521.59,2388.07,8141.55,8.4246,0.03,391,2388,100.0,39.03,23.487
50,9,0.0003,0.0001,100.0,518.67,642.22,1583.92,1397.45,14.62,21.61,554.24,2388.09,9063.28,1.3,47.34,522.35,2388.04,8144.34,8.4344,0.03,393,2388,100.0,39.02,23.333
50,10,-0.0005,-0.0001,100.0,518.67,642.66,1586.17,1399.06,14.62,21.61,554.04,2388.04,9064.25,1.3,47.26,522.23,2388.02,8134.78,8.416,0.03,392,2388,100.0,38.65,23.2422
50,11,0.0001,-0.0003,100.0,518.67,641.96,1586.29,1402.12,14.62,21.61,553.57,2388.06,9057.86,1.3,47.09,521.95,2388.09,8139.39,8.3931,0.03,390,2388,100.0,38.82,23.3623
50,12,-0.0013,0.0004,100.0,518.67,642.07,1586.38,1397.28,14.62,21.61,554.25,2388.05,9055.93,1.3,47.23,522.38,2388.06,8139.71,8.4012,0.03,392,2388,100.0,39.04,23.3816
50,13,0.0029,0.0001,100.0,518.67,642.51,1586.29,1399.29,14.62,21.61,554.21,2388.08,9062.61,1.3,47.25,522.54,2387.96,8144.37,8.4527,0.03,392,2388,100.0,38.88,23.4276
50,14,-0.0012,0.0005,100.0,518.67,642.51,1586.38,1397.17,14.62,21.61,553.43,2388.01,9058.31,1.3,47.24,521.98,2387.97,8141.79,8.4224,0.03,392,2388,100.0,38.93,23.4435
50,15,-0.0024,-0.0001,100.0,518.67,642.71,1593.17,1396.7,14.62,21.61,554.51,2388.01,9064.63,1.3,47.48,522.51,2388.02,8139.61,8.4344,0.03,391,2388,100.0,39.09,23.2253
50,16,-0.0003,0.0003,100.0,518.67,642.64,1585.93,1396.54,14.62,21.61,554.12,2387.99,9058.33,1.3,47.38,521.99,2388.02,8143.54,8.3911,0.03,394,2388,100.0,38.95,23.4107
50,17,-0.0026,0.0004,100.0,518.67,642.58,1590.88,1407.87,14.62,21.61,553.34,2388.07,9057.35,1.3,47.3,521.83,2388.04,8139.16,8.4093,0.03,393,2388,100.0,39.05,23.4338
50,18,0.0014,-0.0,100.0,518.67,641.91,1579.45,1400.7,14.62,21.61,554.63,2388.02,9066.21,1.3,47.25,521.94,2388.01,8143.97,8.4008,0.03,392,2388,100.0,39.14,23.2716
50,19,-0.0023,0.0,100.0,518.67,641.98,1584.54,1397.19,14.62,21.61,553.9,2388.03,9056.97,1.3,47.2,522.02,2388.04,8139.83,8.3948,0.03,392,2388,100.0,38.82,23.3901
50,20,0.0004,-0.0003,100.0,518.67,642.07,1588.84,1400.93,14.62,21.61,554.58,2388.05,9061.59,1.3,47.5,521.94,2388.07,8145.57,8.4021,0.03,392,2388,100.0,39.05,23.3668
50,21,-0.0001,-0.0001,100.0,518.67,642.4,1583.29,1399.73,14.62,21.61,554.35,2388.0,9063.07,1.3,47.24,522.18,2388.03,8137.98,8.4052,0.03,392,2388,100.0,38.99,23.3196
50,22,0.0037,0.0005,100.0,518.67,642.28,1588.64,1400.9,14.62,21.61,554.78,2387.96,9056.84,1.3,47.33,522.34,2388.09,8146.93,8.4136,0.03,392,2388,100.0,38.91,23.458
50,23,0.0003,-0.0004,100.0,518.67,641.86,1585.99,1401.4,14.62,21.61,554.1,2388.09,9062.48,1.3,47.32,521.86,2388.04,8141.75,8.387,0.03,395,2388,100.0,39.01,23.3527
50,24,0.0016,-0.0004,100.0,518.67,642.85,1586.54,1397.71,14.62,21.61,554.16,2388.08,9059.26,1.3,47.15,521.54,2388.07,8141.0,8.43,0.03,393,2388,100.0,39.03,23.3563
50,25,-0.0026,-0.0005,100.0,518.67,642.33,1585.13,1394.92,14.62,21.61,554.24,2388.0,9063.0,1.3,47.32,521.97,2387.98,8139.29,8.442,0.03,391,2388,100.0,39.02,23.3517
