unit_number,time_cycles,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
25,1,0.0022,-0.0001,100.0,518.67,642.28,1589.09,1396.65,14.62,21.61,553.68,2388.08,9050.99,1.3,47.54,522.14,2388.04,8135.76,8.4075,0.03,394,2388,100.0,39.06,23.345
25,2,-0.0007,-0.0,100.0,518.67,641.84,1584.65,1398.3,14.62,21.61,554.24,2388.07,9049.43,1.3,47.4,521.88,2388.1,8126.66,8.4098,0.03,391,2388,100.0,38.84,23.3104
25,3,-0.0013,-0.0001,100.0,518.67,642.07,1585.7,1408.75,14.62,21.61,553.73,2388.08,9047.94,1.3,47.31,521.55,2388.05,8133.09,8.4065,0.03,391,2388,100.0,38.91,23.3267
25,4,0.0018,0.0,100.0,518.67,641.81,1589.85,1414.05,14.62,21.61,553.99,2388.04,9045.52,1.3,47.29,522.18,2388.06,8134.63,8.3987,0.03,393,2388,100.0,38.89,23.3115
25,5,0.0009,0.0004,100.0,518.67,641.95,1580.75,1401.5,14.62,21.61,553.65,2388.08,9052.95,1.3,47.48,522.04,2388.07,8135.85,8.3729,0.03,392,2388,100.0,39.08,23.2902
25,6,-0.0002,0.0004,100.0,518.67,642.37,1585.64,1397.2,14.62,21.61,553.81,2388.04,9048.63,1.3,47.29,521.72,2388.09,8128.35,8.4067,0.03,391,2388,100.0,38.94,23.4426
25,7,-0.0027,-0.0001,100.0,518.67,642.35,1587.88,1402.46,14.62,21.61,554.04,2388.08,9049.42,1.3,47.32,521.76,2388.05,8132.78,8.4355,0.03,392,2388,100.0,38.85,23.336
25,8,0.0029,-0.0001,100.0,518.67,642.95,1587.05,1405.34,14.62,21.61,553.86,2388.06,9044.46,1.3,47.29,521.56,2388.06,8131.99,8.4252,0.03,392,2388,100.0,38.86,23.3759
25,9,-0.0027,0.0004,100.0,518.67,642.23,1586.37,1408.06,14.62,21.61,554.21,2388.05,9047.12,1.3,47.34,522.03,2388.06,8135.38,8.3868,0.03,391,2388,100.0,38.79,23.3916
25,10,0.0024,0.0004,100.0,518.67,641.91,1587.12,1405.05,14.62,21.61,553.26,2388.1,9054.0,1.3,47.47,521.45,2388.11,8130.43,8.3876,0.03,394,2388,100.0,39.01,23.405
25,11,-0.0022,0.0001,100.0,518.67,641.88,1592.3,1405.2,14.62,21.61,554.02,2388.06,9046.05,1.3,47.49,521.9,2388.05,8132.35,8.4479,0.03,391,2388,100.0,38.99,23.3391
